Vehicle ID,Departure Time,Arrival Time,Travel Time,Waiting Time,Route Length
ai_714b827c63f0414282254f2b883c754c,481.9,574.0,92.1,8.4,860.2
ai_ae0d322442d44624986881ac38c9e23a,454.3,575.7,121.4,29.9,860.2
ai_ab319e0923a54ba1a8a9225ae37f0861,509.2,575.9,66.7,11.8,646.77
ai_4927e20d13924eb8a756f7ea3b86880b,512.2,579.8,67.6,6.4,631.99
ai_7ce608f8858e4b23894db673705a8863,546.3,582.4,36.1,0.0,415.23
ai_31d27ba9008f46e4b93f45ef909e0927,551.7,588.2,36.5,0.0,415.23
ai_fc84f709ff2346cb90f6597db1832119,541.0,592.5,51.5,0.0,643.97
ai_6b7aaf7a6d54430f8bf38a66b56e751a,563.0,600.0,37.0,0.0,405.25
ai_c8a2148607a64a168300e6ed2fcbbdce,501.8,600.8,99.0,36.6,873.47
ai_4fa7e5f65afb4f49ab38a302d0428248,484.3,604.3,120.0,41.7,843.99
ai_03506089ca5a4525b8bbc932e4184851,497.0,604.8,107.8,42.0,614.0
ai_566e5d7b24834e9b9dc606533fc16ec1,566.1,607.2,41.1,0.0,408.05
ai_95b3760c4c6647878b1fff6631096cb5,486.1,608.5,122.4,42.9,624.9
ai_d62af07384ad4f0fa1cc3efe7548571f,498.1,608.6,110.5,7.5,841.89
ai_1186d23288a04407b6d93bf4729c3d74,528.3,610.1,81.8,0.0,843.99
ai_caac6e50f73a416dad1bd73f04b133b0,502.4,610.7,108.3,6.3,846.79
ai_b017513648af434181b570bec6e97855,562.8,610.9,48.1,1.5,402.39
ai_094d1b019d21418183e4ea4228ebe72a,456.2,612.0,155.8,66.1,870.2
ai_8f973b1606eb4a47b6de2f0a968314dc,483.2,613.5,130.3,64.4,639.84
ai_4c65c9c0b43a4db590ce915b40915cba,550.4,614.8,64.4,0.0,843.99
ai_5364fabcc43049448b2de469f88ff952,518.4,615.4,97.0,38.6,647.59
ai_1e4f157380f14d9dbb7afda119ce2e8e,498.9,617.5,118.6,44.2,645.06
emergency_70da8ab6584c4581bd0424774be9b6fb,536.6,619.3,82.7,43.2,413.73
ai_1f273491df544adab6c0b2d05f2bb4ab,497.8,620.0,122.2,31.9,632.84
ai_922d320ba3d141b8b515d50adde7a4a3,495.1,622.9,127.8,25.9,843.52
ai_f26c83805368412a8bbdee73cc4cbfce,508.4,623.9,115.5,39.5,870.2
ai_3cdb32c48fa24e5bb590f16459ed1158,586.0,629.7,43.7,0.0,415.23
ai_26d35fdd6b45434f97cf788ae8ffd1fc,530.6,629.9,99.3,31.1,620.31
ai_0446269601f84b76bb359c658904d15e,537.0,637.7,100.7,24.9,870.67
ai_2296c56e30234540ab12d7de359fb5fb,474.3,641.0,166.7,71.3,642.96
ai_f1b12fecbe784b8da821a29e4d3e5840,593.8,647.4,53.6,3.2,413.13
ai_63cb6e015ac84bf3b0aef657c6f074b9,551.4,648.1,96.7,19.5,860.5
ai_9d776956cf454d529bce7423a741fca6,521.0,648.7,127.7,35.0,867.67
ai_cb0b56df04a3446b840dedeb18b2df39,550.9,648.7,97.8,44.5,634.79
ai_46cf4764dfff40358e91c9d2db4b8d42,505.7,649.3,143.6,63.6,857.97
ai_ba846b9a5b864688a04bf8780bba1489,562.1,649.4,87.3,32.7,646.77
ai_641ad5b56d8a499a9975d21808a6f469,563.6,651.1,87.5,3.6,843.52
ai_a22234d7f42f4b319ed7521421ceee51,567.8,651.1,83.3,0.0,860.5
ai_9c188027bf124df588157cfd4d83fa5e,565.0,652.6,87.6,0.7,856.36
ai_06b3346bf83a488eb93062c3f6b4a44d,580.8,652.7,71.9,0.0,860.5
ai_3936691a3b884b649fa61ee80a06d6cd,530.9,653.8,122.9,30.6,638.06
ai_c1c4942002154b009b3278e65c196c22,524.0,654.6,130.6,35.4,860.66
ai_a75a8797359d4264990c071ba53850cb,566.6,654.6,88.0,37.9,413.13
ai_c74815b7e9d34f4b986578f9eab7994b,544.2,656.1,111.9,31.7,862.76
ai_1e3c7b20c82847f58e6717c19cd63ef7,599.1,656.2,57.1,10.1,415.23
ai_341bfbfc54694449a828f8eac97f8211,512.2,656.3,144.1,27.5,852.73
ai_9335ed8726b74818a43989d24cc7aeba,585.6,657.5,71.9,0.0,860.5
ai_960361cf103341199e40f172eccb856a,478.6,657.8,179.2,93.5,859.73
ai_2d436fc7bdfd4302a28ebb83a61545f1,506.6,658.2,151.6,40.9,854.83
ai_0cbf288ca479488899621043281e396c,539.3,658.4,119.1,29.6,868.14
ai_dbdd0853c11e4d2eb7bc8698de8ae8bc,488.5,659.4,170.9,81.0,846.89
ai_9ca8ce99d6db48f39a23db59fef477cd,589.0,660.6,71.6,0.0,866.04
ai_2c311af324bc4c7c9d745599cdc88061,490.7,660.8,170.1,69.4,859.73
ai_0f22b7e14c5643d59cefadbe8ff6d9d4,534.1,662.5,128.4,34.2,862.53
ai_1b421a5be7c34161b7b89e6cca283f1b,558.9,663.9,105.0,19.3,849.69
ai_a0b571c68c714e28994bb74585ecef8f,550.1,665.9,115.8,19.1,860.2
ai_50c6f529957d4dcda17024270ebbe464,548.4,666.4,118.0,17.5,863.0
ai_d2d579632d61432f81b8795ed1cc7eec,546.9,669.7,122.8,21.0,863.0
